chrom	start	end	cpg_label
chr1	3651516	3652515	promoter_TP73_HGNC:12003
chr1	3650104	3651103	promoter_WRAP73_HGNC:12759
chr1	3751450	3752449	promoter_CCDC27_HGNC:26546
chr1	3771749	3772748	promoter_SMIM1_HGNC:44204
chr1	3796499	3797498	promoter_LRRC47_HGNC:29207
chr1	3856476	3857475	promoter_DFFB_HGNC:2773
chr1	3857212	3858211	promoter_CEP104_HGNC:24866
chr1	3900273	3901272	promoter_C1orf174_HGNC:27915
chr1	4653609	4654608	promoter_AJAP1_HGNC:30801
chr1	6044888	6045887	promoter_KCNAB2_HGNC:6229
chr1	5992426	5993425	promoter_NPHP4_HGNC:19104
chr1	6180322	6181321	promoter_CHD5_HGNC:16816
chr1	6205119	6206118	promoter_RNF207_HGNC:32947
chr1	6199596	6200595	promoter_RPL22_HGNC:10315
chr1	6235965	6236964	promoter_ICMT_HGNC:5350
chr1	6243179	6244178	promoter_HES3_HGNC:26226
chr1	6261099	6262098	promoter_GPR153_HGNC:23618
chr1	6393768	6394767	promoter_ACOT7_HGNC:24157
chr1	6419920	6420919	promoter_HES2_HGNC:16005
chr1	6423776	6424775	promoter_ESPN_HGNC:13281
chr1	6466174	6467173	promoter_TNFRSF25_HGNC:11910
chr1	6491668	6492667	promoter_PLEKHG5_HGNC:29105
chr1	6554514	6555513	promoter_NOL9_HGNC:26265
chr1	6554307	6555306	promoter_TAS1R1_HGNC:14448
chr1	6578994	6579993	promoter_ZBTB48_HGNC:4930
chr1	6612731	6613730	promoter_PHF13_HGNC:22983
chr1	6602870	6603869	promoter_KLHL21_HGNC:29041
chr1	6623868	6624867	promoter_THAP3_HGNC:20855
chr1	6701817	6702816	promoter_DNAJC11_HGNC:25570
chr1	6784454	6785453	promoter_CAMTA1_HGNC:18806
chr1	7770296	7771295	promoter_VAMP3_HGNC:12644
chr1	7783291	7784290	promoter_PER3_HGNC:8847
chr1	7853066	7854065	promoter_UTS2_HGNC:12636
chr1	7940840	7941839	promoter_TNFRSF9_HGNC:11924
chr1	7960711	7961710	promoter_PARK7_HGNC:16369
chr1	8026310	8027309	promoter_ERRFI1_HGNC:18185
chr1	8317114	8318113	promoter_SLC45A1_HGNC:17939
chr1	8817641	8818640	promoter_RERE_HGNC:9965
chr1	8878687	8879686	promoter_ENO1_HGNC:3350
chr1	8944868	8945867	promoter_CA6_HGNC:1380
chr1	9026424	9027423	promoter_SLC2A7_HGNC:13445
chr1	9069636	9070635	promoter_SLC2A5_HGNC:11010
chr1	9129103	9130102	promoter_GPR157_HGNC:23687
chr1	9233774	9234773	promoter_H6PD_HGNC:4795
chr1	9291894	9292893	promoter_SPSB1_HGNC:30628
chr1	9538465	9539464	promoter_SLC25A33_HGNC:29681
chr1	9587911	9588910	promoter_TMEM201_HGNC:33719
chr1	9650731	9651730	promoter_PIK3CD_HGNC:8977
chr1	9823966	9824965	promoter_CLSTN1_HGNC:17447
chr1	9910270	9911269	promoter_CTNNBIP1_HGNC:16913
chr1	9943392	9944391	promoter_LZIC_HGNC:17497
chr1	9942475	9943474	promoter_NMNAT1_HGNC:17877
chr1	9996228	9997227	promoter_RBP7_HGNC:30316
chr1	10031958	10032957	promoter_UBE4B_HGNC:12500
chr1	10209570	10210569	promoter_KIF1B_HGNC:16636
chr1	10398064	10399063	promoter_PGD_HGNC:8891
chr1	10429433	10430432	promoter_CENPS_HGNC:23163
chr1	10449031	10450030	promoter_CORT_HGNC:2257
chr1	10473950	10474949	promoter_PEX14_HGNC:8856
chr1	10472530	10473529	promoter_DFFA_HGNC:2772
chr1	10796647	10797646	promoter_CASZ1_HGNC:26002
chr1	10982077	10983076	promoter_C1orf127_HGNC:26730
chr1	11011654	11012653	promoter_TARDBP_HGNC:11571
chr1	11047240	11048239	promoter_MASP2_HGNC:6902
chr1	11060019	11061018	promoter_SRM_HGNC:11296
chr1	11099870	11100869	promoter_EXOSC10_HGNC:9138
chr1	11188355	11189354	promoter_ANGPTL7_HGNC:24078
chr1	11262552	11263551	promoter_MTOR_HGNC:3942
chr1	11272198	11273197	promoter_UBIAD1_HGNC:30791
chr1	11478155	11479154	promoter_DISP3_HGNC:29251
chr1	11653877	11654876	promoter_FBXO44_HGNC:24847
chr1	11654430	11655429	promoter_FBXO2_HGNC:13581
chr1	11663200	11664199	promoter_FBXO6_HGNC:13585
chr1	11690710	11691709	promoter_DRAXIN_HGNC:25054
chr1	11681149	11682148	promoter_MAD2L2_HGNC:6764
chr1	11735136	11736135	promoter_AGTRAP_HGNC:13539
chr1	11761193	11762192	promoter_C1orf167_HGNC:25262
chr1	11805191	11806190	promoter_CLCN6_HGNC:2024
chr1	11805965	11806964	promoter_MTHFR_HGNC:7436
chr1	11847784	11848783	promoter_NPPA_HGNC:7939
chr1	11858946	11859945	promoter_NPPB_HGNC:7940
chr1	11926428	11927427	promoter_KIAA2013_HGNC:28513
chr1	11933717	11934716	promoter_PLOD1_HGNC:9081
chr1	11979444	11980443	promoter_MFN2_HGNC:16877
chr1	12018498	12019497	promoter_MIIP_HGNC:25715
chr1	12062303	12063302	promoter_TNFRSF8_HGNC:11923
chr1	12165991	12166990	promoter_TNFRSF1B_HGNC:11917
chr1	12229030	12230029	promoter_VPS13D_HGNC:23595
chr1	12618211	12619210	promoter_DHRS3_HGNC:17693
chr1	12643085	12644084	promoter_AADACL4_HGNC:32038
chr1	12715110	12716109	promoter_AADACL3_HGNC:32037
chr1	12745200	12746199	promoter_CFAP107_HGNC:28567
chr1	12772738	12773737	promoter_PRAMEF12_HGNC:22125
chr1	12790397	12791396	promoter_PRAMEF1_HGNC:28840
chr1	12831411	12832410	promoter_PRAMEF11_HGNC:14086
chr1	12848721	12849720	promoter_HNRNPCL1_HGNC:29295
chr1	12856086	12857085	promoter_PRAMEF2_HGNC:28841
chr1	12886202	12887201	promoter_PRAMEF4_HGNC:31971
chr1	12898271	12899270	promoter_PRAMEF10_HGNC:27997
chr1	12915610	12916609	promoter_PRAMEF7_HGNC:28415
chr1	12947581	12948580	promoter_PRAMEF6_HGNC:30583
chr1	13056576	13057575	promoter_PRAMEF27_HGNC:51234
chr1	13059769	13060768	promoter_HNRNPCL3_HGNC:51235
chr1	13069774	13070773	promoter_PRAMEF25_HGNC:49179
chr1	13116855	13117854	promoter_HNRNPCL2_HGNC:48813
chr1	13156010	13157009	promoter_PRAMEF26_HGNC:49178
chr1	13165632	13166631	promoter_HNRNPCL4_HGNC:51333
chr1	13170848	13171847	promoter_PRAMEF9_HGNC:27996
chr1	13201410	13202409	promoter_PRAMEF13_HGNC:13262
chr1	13226155	13227154	promoter_PRAMEF18_HGNC:30693
chr1	13253198	13254197	promoter_PRAMEF5_HGNC:27995
chr1	13285138	13286137	promoter_PRAMEF8_HGNC:24074
chr1	13302539	13303538	promoter_PRAMEF33_HGNC:49193
chr1	13314581	13315580	promoter_PRAMEF15_HGNC:26764
chr1	13347135	13348134	promoter_PRAMEF14_HGNC:13576
chr1	13371948	13372947	promoter_PRAMEF19_HGNC:24908
chr1	13388632	13389631	promoter_PRAMEF17_HGNC:29485
chr1	13409450	13410449	promoter_PRAMEF20_HGNC:25224
chr1	13514004	13515003	promoter_LRRC38_HGNC:27005
chr1	13582832	13583831	promoter_PDPN_HGNC:29602
chr1	13699188	13700187	promoter_PRDM2_HGNC:9347
chr1	14597685	14598684	promoter_KAZN_HGNC:29173
chr1	15152747	15153746	promoter_TMEM51_HGNC:25488
chr1	15246223	15247222	promoter_FHAD1_HGNC:29408
chr1	15408888	15409887	promoter_EFHD2_HGNC:28670
chr1	15437443	15438442	promoter_CTRC_HGNC:2523
chr1	15455732	15456731	promoter_CELA2A_HGNC:24609
chr1	15475104	15476103	promoter_CELA2B_HGNC:29995
chr1	15524216	15525215	promoter_CASP9_HGNC:1511
chr1	15525848	15526847	promoter_DNAJC16_HGNC:29157
chr1	15585052	15586051	promoter_AGMAT_HGNC:18407
chr1	15616458	15617457	promoter_DDI2_HGNC:24578
chr1	15658713	15659712	promoter_RSC1A1_HGNC:10458
chr1	15683320	15684319	promoter_PLEKHM2_HGNC:29131
chr1	15735258	15736257	promoter_SLC25A34_HGNC:27653
chr1	15741499	15742498	promoter_TMEM82_HGNC:32350
chr1	15757795	15758794	promoter_FBLIM1_HGNC:24686
chr1	15807650	15808649	promoter_UQCRHL_HGNC:51714
chr1	15846707	15847706	promoter_SPEN_HGNC:17575
chr1	15976102	15977101	promoter_ZBTB17_HGNC:12936
chr1	16003236	16004235	promoter_SRARP_HGNC:28339
chr1	16021036	16022035	promoter_CLCNKA_HGNC:2026
chr1	16018044	16019043	promoter_HSPB7_HGNC:5249
chr1	16042782	16043781	promoter_CLCNKB_HGNC:2027
chr1	16073652	16074651	promoter_FAM131C_HGNC:26717
chr1	16156070	16157069	promoter_EPHA2_HGNC:3386
chr1	16212653	16213652	promoter_ARHGEF19_HGNC:26604
chr1	16237184	16238183	promoter_CPLANE2_HGNC:28127
chr1	16352481	16353480	promoter_FBXO42_HGNC:29249
chr1	16366242	16367241	promoter_SZRD1_HGNC:30232
chr1	16437425	16438424	promoter_SPATA21_HGNC:28026
chr1	16439724	16440723	promoter_NECAP2_HGNC:25528
chr1	16613488	16614487	promoter_NBPF1_HGNC:26088
chr1	16920931	16921930	promoter_CROCC_HGNC:21299
chr1	16980621	16981620	promoter_MFAP2_HGNC:7033
chr1	17011758	17012757	promoter_ENSG00000288636_HGNC:NA
chr1	17011929	17012928	promoter_ATP13A2_HGNC:30213
chr1	17054033	17055032	promoter_SDHB_HGNC:10681
chr1	17119452	17120451	promoter_PADI2_HGNC:18341
chr1	17204128	17205127	promoter_PADI1_HGNC:18367
chr1	17248098	17249097	promoter_PADI3_HGNC:18337
chr1	17307197	17308196	promoter_PADI4_HGNC:18368
chr1	17371196	17372195	promoter_PADI6_HGNC:20449
chr1	17439678	17440677	promoter_RCC2_HGNC:30297
chr1	17538698	17539697	promoter_ARHGEF10L_HGNC:25540
chr1	17754333	17755332	promoter_ACTL8_HGNC:24018
chr1	18106798	18107797	promoter_IGSF21_HGNC:28246
chr1	18479930	18480929	promoter_KLHDC7A_HGNC:26791
chr1	18629846	18630845	promoter_PAX7_HGNC:8621
chr1	18859661	18860660	promoter_TAS1R2_HGNC:14905
chr1	18902556	18903555	promoter_ALDH4A1_HGNC:406
chr1	18956677	18957676	promoter_IFFO2_HGNC:27006
chr1	19210267	19211266	promoter_UBR4_HGNC:30313
chr1	19251525	19252524	promoter_EMC1_HGNC:28957
chr1	19250805	19251804	promoter_MRTO4_HGNC:18477
chr1	19274195	19275194	promoter_AKR7L_HGNC:24056
chr1	19288771	19289770	promoter_AKR7A3_HGNC:390
chr1	19312145	19313144	promoter_AKR7A2_HGNC:389
chr1	19311326	19312325	promoter_SLC66A1_HGNC:26001
chr1	19595979	19596978	promoter_MICOS10_HGNC:32068
chr1	19485540	19486539	promoter_CAPZB_HGNC:1491
chr1	19643311	19644310	promoter_NBL1_HGNC:7650
chr1	19663875	19664874	promoter_HTR6_HGNC:5301
chr1	19799917	19800916	promoter_TMCO4_HGNC:27393
chr1	19815284	19816283	promoter_RNF186_HGNC:25978
chr1	19881395	19882394	promoter_OTUD3_HGNC:29038
chr1	19923618	19924617	promoter_PLA2G2E_HGNC:13414
chr1	19979619	19980618	promoter_PLA2G2A_HGNC:9031
chr1	20069194	20070193	promoter_PLA2G5_HGNC:9038
chr1	20119537	20120536	promoter_PLA2G2D_HGNC:9033
chr1	20138323	20139322	promoter_PLA2G2F_HGNC:30040
chr1	20185096	20186095	promoter_UBXN10_HGNC:26354
chr1	20186519	20187518	promoter_PLA2G2C_HGNC:9032
chr1	20289875	20290874	promoter_VWA5B1_HGNC:26538
chr1	20486211	20487210	promoter_CAMK2N1_HGNC:24190
chr1	20508152	20509151	promoter_MUL1_HGNC:25762
chr1	20551573	20552572	promoter_FAM43B_HGNC:31791
chr1	20588097	20589096	promoter_CDA_HGNC:1712
chr1	20632458	20633457	promoter_PINK1_HGNC:14581
chr1	20661370	20662369	promoter_DDOST_HGNC:2728
chr1	20718008	20719007	promoter_KIF17_HGNC:19167
chr1	20732704	20733703	promoter_SH2D5_HGNC:28819
chr1	20787308	20788307	promoter_HP1BP3_HGNC:24973
chr1	21176898	21177897	promoter_EIF4G3_HGNC:3298
chr1	21290464	21291463	promoter_ECE1_HGNC:3146
chr1	21439137	21440136	promoter_NBPF3_HGNC:25076
chr1	21508423	21509422	promoter_ALPL_HGNC:438
chr1	21546404	21547403	promoter_ENSG00000289715_HGNC:NA
chr1	21669358	21670357	promoter_RAP1GAP_HGNC:9858
chr1	21783150	21784149	promoter_USP48_HGNC:18533
chr1	21811265	21812264	promoter_LDLRAD2_HGNC:32071
chr1	21937311	21938310	promoter_HSPG2_HGNC:5273
chr1	21976022	21977021	promoter_CELA3B_HGNC:15945
chr1	22000657	22001656	promoter_CELA3A_HGNC:15944
chr1	22051709	22052708	promoter_CDC42_HGNC:1736
chr1	22143098	22144097	promoter_WNT4_HGNC:12783
chr1	22450851	22451850	promoter_ZBTB40_HGNC:29045
chr1	22562489	22563488	promoter_EPHA8_HGNC:3391
chr1	22635628	22636627	promoter_C1QA_HGNC:1241
chr1	22642633	22643632	promoter_C1QC_HGNC:1245
chr1	22652236	22653235	promoter_C1QB_HGNC:1242
chr1	22709839	22710838	promoter_EPHB2_HGNC:3393
chr1	22972867	22973866	promoter_LACTBL1_HGNC:35445
chr1	23015853	23016852	promoter_TEX46_HGNC:44651
chr1	23018468	23019467	promoter_KDM1A_HGNC:29079
chr1	23094377	23095376	promoter_ENSG00000293565_HGNC:NA
chr1	23168857	23169856	promoter_LUZP1_HGNC:14985
chr1	23217503	23218502	promoter_HTR1D_HGNC:5289
chr1	23344285	23345284	promoter_HNRNPR_HGNC:5047
chr1	23369837	23370836	promoter_ZNF436_HGNC:20814
chr1	23424749	23425748	promoter_TCEA3_HGNC:11615
chr1	23484180	23485179	promoter_ASAP3_HGNC:14987
chr1	23531234	23532233	promoter_E2F2_HGNC:3114
chr1	23559502	23560501	promoter_ID3_HGNC:5362
chr1	23690806	23691805	promoter_RPL11_HGNC:10301
chr1	23742471	23743470	promoter_ELOA_HGNC:11620
chr1	23777418	23778417	promoter_PITHD1_HGNC:25022
chr1	23790145	23791144	promoter_LYPLA2_HGNC:6738
chr1	23800755	23801754	promoter_GALE_HGNC:4116
chr1	23825430	23826429	promoter_HMGCL_HGNC:5005
chr1	23868291	23869290	promoter_FUCA1_HGNC:4006
chr1	23913363	23914362	promoter_CNR2_HGNC:2160
chr1	23958828	23959827	promoter_PNRC2_HGNC:23158
chr1	23980328	23981327	promoter_SRSF10_HGNC:16713
chr1	24112136	24113135	promoter_MYOM3_HGNC:26679
chr1	24143141	24144140	promoter_IL22RA1_HGNC:13700
chr1	24187290	24188289	promoter_IFNLR1_HGNC:18584
chr1	24318357	24319356	promoter_GRHL3_HGNC:25839
chr1	24414802	24415801	promoter_NIPAL3_HGNC:25233
chr1	24413783	24414782	promoter_STPG1_HGNC:28070
chr1	24501836	24502835	promoter_RCAN3_HGNC:3042
chr1	24555087	24556086	promoter_NCMAP_HGNC:29332
chr1	24642302	24643301	promoter_SRRM1_HGNC:16638
chr1	24744447	24745446	promoter_CLIC4_HGNC:13518
chr1	24930277	24931276	promoter_RUNX3_HGNC:10473
chr1	25232503	25233502	promoter_SYF2_HGNC:19824
chr1	25271509	25272508	promoter_RHD_HGNC:10009
chr1	25247455	25248454	promoter_RSRP1_HGNC:25234
chr1	25337334	25338333	promoter_TMEM50A_HGNC:30590
chr1	25420826	25421825	promoter_RHCE_HGNC:10008
chr1	25429897	25430896	promoter_MACO1_HGNC:25572
chr1	25542606	25543605	promoter_LDLRAP1_HGNC:18640
chr1	25615791	25616790	promoter_MAN1C1_HGNC:19080
chr1	25799193	25800192	promoter_SELENON_HGNC:15999
chr1	25818954	25819953	promoter_MTFR1L_HGNC:28836
chr1	25859458	25860457	promoter_AUNIP_HGNC:28363
chr1	25875709	25876708	promoter_PAQR7_HGNC:23146
chr1	25906420	25907419	promoter_STMN1_HGNC:6510
chr1	25998064	25999063	promoter_PAFAH2_HGNC:8579
chr1	26020775	26021774	promoter_EXTL1_HGNC:3515
chr1	26046119	26047118	promoter_SLC30A2_HGNC:11013
chr1	26067631	26068630	promoter_TRIM63_HGNC:16007
chr1	26110824	26111823	promoter_PDIK1L_HGNC:18981
chr1	26158079	26159078	promoter_FAM110D_HGNC:25860
chr1	26168964	26169963	promoter_C1orf232_HGNC:53426
chr1	26168908	26169907	promoter_ZNF593_HGNC:30943
chr1	26171833	26172832	promoter_ZNF593OS_HGNC:41278
chr1	26176491	26177490	promoter_CNKSR1_HGNC:19700
chr1	26189602	26190601	promoter_CATSPER4_HGNC:23220
chr1	26233200	26234199	promoter_CEP85_HGNC:25309
chr1	26279086	26280085	promoter_SH3BGRL3_HGNC:15568
chr1	26316958	26317957	promoter_CD52_HGNC:1804
chr1	26306637	26307636	promoter_UBXN11_HGNC:30600
chr1	26354131	26355130	promoter_CRYBG2_HGNC:17295
chr1	26372751	26373750	promoter_ZNF683_HGNC:28495
chr1	26409817	26410816	promoter_LIN28A_HGNC:15986
chr1	26431321	26432320	promoter_DHDDS_HGNC:20603
chr1	26471440	26472439	promoter_HMGN2_HGNC:4986
chr1	26528761	26529760	promoter_RPS6KA1_HGNC:10430
chr1	26695015	26696014	promoter_ARID1A_HGNC:11110
chr1	26786950	26787949	promoter_PIGV_HGNC:26031
chr1	26825688	26826687	promoter_ZDHHC18_HGNC:20712
chr1	26862149	26863148	promoter_SFN_HGNC:10773
chr1	26890284	26891283	promoter_GPN2_HGNC:25513
chr1	26920743	26921742	promoter_NUDC_HGNC:8045
chr1	26900468	26901467	promoter_GPATCH3_HGNC:25720
chr1	26913976	26914975	promoter_NR0B2_HGNC:7961
chr1	26960469	26961468	promoter_KDF1_HGNC:26624
chr1	26992692	26993691	promoter_TRNP1_HGNC:34348
chr1	27012851	27013850	promoter_TENT5B_HGNC:28273
chr1	27155126	27156125	promoter_SLC9A1_HGNC:11071
chr1	27233632	27234631	promoter_WDTC1_HGNC:29175
chr1	27321163	27322162	promoter_TMEM222_HGNC:25363
chr1	27341022	27342021	promoter_SYTL1_HGNC:15584
chr1	27366962	27367961	promoter_MAP3K6_HGNC:6858
chr1	27374825	27375824	promoter_FCN3_HGNC:3625
chr1	27383334	27384333	promoter_CD164L2_HGNC:32043
chr1	27391622	27392621	promoter_GPR3_HGNC:4484
chr1	27490168	27491167	promoter_WASF2_HGNC:12733
chr1	27604145	27605144	promoter_AHDC1_HGNC:25230
chr1	27635186	27636185	promoter_FGR_HGNC:3697
chr1	27672193	27673192	promoter_IFI6_HGNC:4054
chr1	27724961	27725960	promoter_FAM76A_HGNC:28530
chr1	27772219	27773218	promoter_STX12_HGNC:11430
chr1	27829782	27830781	promoter_PPP1R8_HGNC:9296
chr1	27871544	27872543	promoter_THEMIS2_HGNC:16839
chr1	27914576	27915575	promoter_RPA2_HGNC:10290
chr1	27934000	27934999	promoter_SMPDL3B_HGNC:21416
chr1	27958973	27959972	promoter_XKR8_HGNC:25508
chr1	28088611	28089610	promoter_EYA3_HGNC:3521
chr1	28176691	28177690	promoter_PTAFR_HGNC:9582
chr1	28233030	28234029	promoter_DNAJC8_HGNC:15470
chr1	28235124	28236123	promoter_ATP5IF1_HGNC:871
chr1	28258518	28259517	promoter_SESN2_HGNC:20746
chr1	28328040	28329039	promoter_MED18_HGNC:25944
chr1	28368740	28369739	promoter_PHACTR4_HGNC:25793
chr1	28505043	28506042	promoter_RCC1_HGNC:1913
chr1	28552085	28553084	promoter_TRNAU1AP_HGNC:30813
chr1	28591265	28592264	promoter_RAB42_HGNC:28702
chr1	28643068	28644067	promoter_TAF12_HGNC:11545
chr1	28667784	28668783	promoter_GMEB1_HGNC:4370
chr1	28735940	28736939	promoter_YTHDF2_HGNC:31675
chr1	28811170	28812169	promoter_OPRD1_HGNC:8153
chr1	28913569	28914568	promoter_EPB41_HGNC:3377
chr1	29123904	29124903	promoter_TMEM200B_HGNC:33785
chr1	29181901	29182900	promoter_SRSF4_HGNC:10786
chr1	29230935	29231934	promoter_MECR_HGNC:19691
chr1	29235522	29236521	promoter_PTPRU_HGNC:9683
chr1	30576826	30577825	promoter_ENSG00000289710_HGNC:NA
chr1	30723586	30724585	promoter_MATN1_HGNC:6907
chr1	30757775	30758774	promoter_LAPTM5_HGNC:29612
chr1	30908759	30909758	promoter_SDC3_HGNC:10660
chr1	31065718	31066717	promoter_PUM1_HGNC:14957
chr1	31239888	31240887	promoter_NKAIN1_HGNC:25743
chr1	31296789	31297788	promoter_SNRNP40_HGNC:30857
chr1	31296032	31297031	promoter_ZCCHC17_HGNC:30246
chr1	31373077	31374076	promoter_FABP3_HGNC:3557
chr1	31412213	31413212	promoter_SERINC2_HGNC:23231
chr1	31575515	31576514	promoter_TINAGL1_HGNC:19168
chr1	31616689	31617688	promoter_HCRTR1_HGNC:4848
chr1	31644877	31645876	promoter_PEF1_HGNC:30009
chr1	31704018	31705017	promoter_COL16A1_HGNC:2193
chr1	31764341	31765340	promoter_ADGRB2_HGNC:944
chr1	31816023	31817022	promoter_SPOCD1_HGNC:26338
chr1	31919629	31920628	promoter_ENSG00000288678_HGNC:NA
chr1	31938369	31939368	promoter_PTP4A2_HGNC:9635
chr1	32012868	32013867	promoter_KHDRBS1_HGNC:18116
chr1	32071939	32072938	promoter_TMEM39B_HGNC:25510
chr1	32107056	32108055	promoter_KPNA6_HGNC:6399
chr1	32178675	32179674	promoter_TXLNA_HGNC:30685
chr1	32199595	32200594	promoter_CCDC28B_HGNC:28163
chr1	32204671	32205670	promoter_IQCC_HGNC:25545
chr1	32208089	32209088	promoter_DCDC2B_HGNC:32576
chr1	32221407	32222406	promoter_EIF3I_HGNC:3272
chr1	32222354	32223353	promoter_TMEM234_HGNC:28837
chr1	32246222	32247221	promoter_FAM167B_HGNC:28133
chr1	32250265	32251264	promoter_LCK_HGNC:6524
chr1	32291083	32292082	promoter_HDAC1_HGNC:4852
chr1	32336234	32337233	promoter_MARCKSL1_HGNC:7142
chr1	32361539	32362538	promoter_TSSK3_HGNC:15473
chr1	32362486	32363485	promoter_FAM229A_HGNC:44652
chr1	32394442	32395441	promoter_BSDC1_HGNC:25501
chr1	32464072	32465071	promoter_ZBTB8B_HGNC:37057
chr1	32538427	32539426	promoter_ZBTB8A_HGNC:24172
chr1	32650551	32651550	promoter_ZBTB8OS_HGNC:24094
chr1	32650208	32651207	promoter_RBBP4_HGNC:9887
chr1	32702771	32703770	promoter_SYNC_HGNC:28897
chr1	32740830	32741829	promoter_NHSL3_HGNC:29301
